fold,epoch,train loss,validation loss
1,1,0.5297884110893522,0.1946731914173473
1,2,0.08847810239309356,0.08387779986316507
1,3,0.0748988687992096,0.07316326316107404
1,4,0.06527444125995749,0.06975248252803629
1,5,0.062275086041717304,0.07131607220931487
1,6,0.05147238909488633,0.07060435448180545
1,7,0.04600425796317203,0.0751053426753391
1,8,0.04425843255150886,0.06406244093721564
1,9,0.03474789090631973,0.07147789814255455
1,10,0.031478626786598136,0.06812772865999829
1,11,0.02281454201078131,0.06690908460454507
1,12,0.023881952233967326,0.07149397277019241
1,13,0.01820202741683239,0.06440746411681175
1,14,0.015585445754584811,0.07371233437548984
1,15,0.013066047425603583,0.06905967132611708
1,16,0.01155677887921532,0.06711185859008269
1,17,0.011135848715812677,0.07705042951486328
1,18,0.009129138330795936,0.06669307500123978
1,19,0.006888512266977202,0.07234150408343835
1,20,0.009326770524716093,0.08548988672820004
1,21,0.009204003693802016,0.06640066849914464
1,22,0.011017769309026855,0.0695458586243066
1,23,0.00878119898871297,0.0670711479403756
1,24,0.007322363854785051,0.0728360116481781
1,25,0.00996187239486192,0.06754706461321223
1,26,0.007641376661402839,0.06748294457793236
1,27,0.006605706055692974,0.06954455240206285
1,28,0.007181290603641953,0.0687332966110923
1,29,0.006050743328939591,0.06639791618693959
1,30,0.004842060745605046,0.06479057601907036
2,1,0.07124365418262425,0.054289562119679016
2,2,0.03817592827337129,0.04104145650159229
2,3,0.0261451570051057,0.033584215424277565
2,4,0.028350361401126498,0.04250662706115029
2,5,0.02019581533524962,0.04107300987975164
2,6,0.018181594509986184,0.04155696014111692
2,7,0.017896228203816072,0.04275036704811183
2,8,0.015943473448888176,0.05728436735543338
2,9,0.016046314212005763,0.04541388255628673
2,10,0.014030764611171824,0.044831003147092735
2,11,0.015889630120779787,0.049595447426492516
2,12,0.019260279679050047,0.049780547957528724
2,13,0.019557601284413112,0.04999566890976646
2,14,0.013996847749998173,0.0432812710377303
2,15,0.009425245491521699,0.04128717427903956
2,16,0.0074050494724707235,0.04050599986856634
2,17,0.006184653390110249,0.03942326794971119
2,18,0.00934922929099273,0.04545813358642838
2,19,0.009918048179575376,0.05602832477201115
2,20,0.014780023135244846,0.058583439073779366
2,21,0.014882543977970878,0.047926518388769844
2,22,0.010283128491469793,0.04498353244906122
2,23,0.007031134784310346,0.04335458762943745
2,24,0.004775035178421864,0.0418807506899942
2,25,0.004038395609573594,0.04300385611978444
2,26,0.003358491557827663,0.04075959409502419
2,27,0.0029452241918382547,0.04111406003887003
2,28,0.0022262213502212296,0.03940598328005184
2,29,0.0018016303961520038,0.042208473113450135
2,30,0.0017201310880149581,0.03790340877392075
3,1,0.027382949744129463,0.015169714916158806
3,2,0.019688755916875033,0.020585054870356213
3,3,0.015182951930910349,0.019382612949067898
3,4,0.014786219556948968,0.017636557786979458
3,5,0.010784537653394398,0.014283751814880154
3,6,0.011447132753563068,0.02031462046910416
3,7,0.009257833972307188,0.015561624430119991
3,8,0.0069515315228186195,0.017801235006614166
3,9,0.00502329898465957,0.013623769649050453
3,10,0.003913038332636158,0.013906878334554758
3,11,0.003846937593715709,0.012712045064703985
3,12,0.005440637397225059,0.013561022552576933
3,13,0.005809487833175808,0.02498982643539255
3,14,0.011231951027487716,0.034282485361803665
3,15,0.018632931080425068,0.03176264430988918
3,16,0.0162213391491345,0.03843084671957926
3,17,0.012900577458952154,0.028822137381542812
3,18,0.007671331543297995,0.02325023558329452
3,19,0.0058465190010056605,0.040441956455734646
3,20,0.011469285258845914,0.037825957109982315
3,21,0.006598224159374479,0.027290298010815273
3,22,0.0041887577944656924,0.02378360800106417
3,23,0.004877781398439159,0.025912354784933003
3,24,0.006512383193088074,0.027256247502836315
3,25,0.0048613177191111304,0.033352589065378364
3,26,0.006106205478621026,0.033799809657714584
3,27,0.011107510299466196,0.035678927871313965
3,28,0.012253855543565891,0.03755783103406429
3,29,0.011842510818193356,0.040092108940536324
3,30,0.012457317362229029,0.035917609252712944
4,1,0.01983281859152374,0.012447445145384832
4,2,0.009939422642457344,0.018428907983682373
4,3,0.011042780398080746,0.01605818657712503
4,4,0.008308187637123324,0.017986068586734207
4,5,0.006805641748498948,0.016271709379824726
4,6,0.005082708107130159,0.01261306723410433
4,7,0.0057657351994532206,0.02564988099038601
4,8,0.010717196578514717,0.02172461397607218
4,9,0.007483995242399119,0.01582820366390727
4,10,0.0056483412904310085,0.018181809224188328
4,11,0.00397261121265945,0.011787064077163284
4,12,0.002841351556569515,0.011590264864604582
4,13,0.001999052743139189,0.010478616776791487
4,14,0.0014547493317097957,0.010551542382348667
4,15,0.0014424169272561336,0.009963649833066896
