epoch,train loss,validation loss
1,0.009916247048763215,0.005331831536561064
2,0.005418913572977053,0.005376979416344814
3,0.005239785412816235,0.005395125110869259
4,0.005110617913944065,0.005285790843098918
5,0.00499651973585551,0.005250484075645545
6,0.004743130323406454,0.004437557382137432
7,0.004298125515335254,0.004732668013209225
8,0.004079375965760262,0.004677314416161001
9,0.00400340670109412,0.004553690805551014
10,0.0035832304242200343,0.004083590394960386
11,0.0028986528617360487,0.004130052856150239
12,0.002877287571282333,0.003435689955381349
13,0.002554915717732944,0.003931807368682409
14,0.0022238462537324845,0.004239436877166251
15,0.002089927112556192,0.004448031439020876
16,0.0022065460824885197,0.005208547061859766
17,0.0021574727502710147,0.004748748982516797
18,0.0017778225999153865,0.004503788588711662
19,0.0017120707529181883,0.0043121996030398195
20,0.001609309005076669,0.004421294881050623
21,0.0016140691286968799,0.004552304891603853
22,0.001582542981067205,0.0042037509168342995
23,0.0014310031676266417,0.004025252481672699
24,0.0013840165655009693,0.003977792529629672
25,0.001351111353378523,0.0034233370263336838
26,0.0013398184321614034,0.0033990948287510037
27,0.0014991371204602204,0.003301378525103852
28,0.0015404104749002089,0.0032006714311592077
29,0.0012972208843186216,0.003311159991350602
30,0.0011981552410241978,0.0033181734983524316
31,0.001139215427953461,0.0038254463702476946
32,0.001133417405323937,0.004186866936682539
33,0.0011046397452260518,0.004242710530585707
34,0.0009725817112766425,0.004207190592751431
35,0.0009595738225258559,0.004451527198095088
36,0.0010026160558933362,0.004457636711170683
37,0.0009643914280833174,0.0037802078732056543
38,0.000993658217445762,0.0037940280229425602
39,0.0007982663308902487,0.0035954134405831915
40,0.0007017856710694517,0.003988360790572187
41,0.0006280729258786691,0.004018946540327306
42,0.0007221467086994221,0.003977051127246038
43,0.0006619245279089094,0.004141886001927257
44,0.0005800958394575256,0.0038314434373205586
45,0.0005605739985238318,0.004303201898286109
46,0.0004948288294948008,0.004139953357556199
47,0.0004842014150697146,0.004558098049263511
48,0.0004932306786223924,0.0040116110977047965
49,0.0005215735209077158,0.00414853543333038
50,0.00045675096964631627,0.004195691732329958
51,0.000436157093288479,0.003812108128300906
52,0.00040088986529919073,0.004032931446469472
53,0.0003328514709744551,0.0040030874192022265
54,0.00026659644203039657,0.004086984207901878
55,0.0003430571209885313,0.003967693387494364
56,0.00031154253371365806,0.0038822092211792856
57,0.0002721609714643135,0.0036699030970150184
58,0.00022744676123587134,0.003762502407520666
59,0.00022929652183256954,0.003758530419569676
60,0.00020779783120529948,0.003935070146553699
61,0.0001618476199840779,0.004216516081082015
62,0.0001651458023594639,0.003663034374023747
63,0.00016529073327115428,0.003696721155506566
64,0.00016434767386491218,0.003883601117801542
65,0.00013217976196504085,0.003943739092922745
66,0.00015408480450279608,0.003982758471276308
67,0.00024094151971121059,0.0037021848665782877
68,0.00021227966107269914,0.00391790923371597
69,0.00019454885331184535,0.003813787952964276
70,0.00020545885342345457,0.0037814355530372268
71,0.0002678654061616268,0.004155311665461643
72,0.00022561567914098087,0.0037394316084089496
73,0.00015932277215159274,0.00397519449193832
74,0.00011394137632505324,0.003764308919699033
75,9.1721986999814e-05,0.004044834644749547
76,0.00010330517783666065,0.004000077692505026
77,8.327754336032674e-05,0.0040660319857295235
78,8.666358213639445e-05,0.0037010601405190378
79,7.373564281361677e-05,0.0041180691600478285
80,8.625815772794227e-05,0.004066212085338823
81,0.00011521463462141072,0.003839319694004454
82,0.00012621399957962458,0.003703418239496159
83,0.00038151637661203294,0.004778434907052542
84,0.0019879730443923094,0.004462852827297563
85,0.0009779158964212818,0.004008835863430704
86,0.0004403203708209126,0.004100003100499332
87,0.0002378352497597365,0.0038975160388758923
88,0.00011909711197636602,0.003940760919173651
89,9.404905680072181e-05,0.003982134831919855
90,5.926726336786879e-05,0.0038680793336543693
91,4.797499083705768e-05,0.003800327689575056
92,4.367695530319482e-05,0.0038062138374499455
93,4.601689689964448e-05,0.003757269870516685
94,4.538490381523545e-05,0.003913389405950578
95,4.395913847171842e-05,0.0037659047214309758
96,4.351372158195912e-05,0.003924079560392239
97,4.831816891611483e-05,0.0038732491082858664
98,5.2016128994219025e-05,0.003927416061927147
99,6.189577825527163e-05,0.0038420361868152972
100,6.937192812048776e-05,0.003685043207677078
101,7.529589734499794e-05,0.003981405069988379
102,0.00011995473572406033,0.003734246361688065
