fold,epoch,train loss,validation loss
1,1,0.30692763662054423,0.17686889388344504
1,2,0.17747135815166293,0.1676086803728884
1,3,0.1650730367927324,0.1679843081669374
1,4,0.11763154271812666,0.07609879902817986
1,5,0.07102946830647332,0.06241597235202789
1,6,0.06855519568281514,0.06548991122029045
1,7,0.06061136039594809,0.05773574757305058
1,8,0.06035690302295344,0.05699106305837631
1,9,0.06555945568141483,0.06486272811889648
1,10,0.05968673917509261,0.0571516752243042
1,11,0.05435196594113395,0.05995993993499062
1,12,0.05606501451915219,0.06670285829088905
1,13,0.05425748362072876,0.05572906542908062
1,14,0.05489809358758586,0.0684635720469735
1,15,0.052887030300639924,0.05412436107342893
1,16,0.05361796569611345,0.05914489518512379
1,17,0.05118703788944653,0.054479671134190125
1,18,0.04827373226483663,0.05099413002079183
1,19,0.0489580531028055,0.05046209320425987
1,20,0.04624668987733977,0.04926990920847112
1,21,0.04606518987566233,0.04956618696451187
1,22,0.0461735584373985,0.0517758195373145
1,23,0.04557521707777466,0.05068701912056316
1,24,0.04304056250978084,0.05919091945344752
1,25,0.04532793031207153,0.055964822457595306
1,26,0.04257989461932864,0.050769353793425995
1,27,0.040874535705716836,0.05088290199637413
1,28,0.04098552798054048,0.05205786329778758
1,29,0.039641949658592544,0.048862950707023796
1,30,0.038987835070916584,0.0513253811408173
2,1,0.0636829777310292,0.036481522362340583
2,2,0.041174725718086676,0.03599879924546589
2,3,0.04214669670909643,0.04073614051396197
2,4,0.04033300666404622,0.03998687016693028
2,5,0.037972137110219115,0.035733131861144844
2,6,0.03593712193625314,0.03777342967011712
2,7,0.03594251757576352,0.038903491740876976
2,8,0.034514859407430605,0.037275781177661636
2,9,0.0344346280076674,0.040274832736362114
2,10,0.03128781998973517,0.042507697235454216
2,11,0.03043707362597897,0.04545730216936632
2,12,0.03237745773401998,0.04294925521720539
2,13,0.030067449258196922,0.04532461308620193
2,14,0.027194188109466007,0.04022026536139575
2,15,0.02544057307144006,0.03850072385235266
2,16,0.02506658998096273,0.04609543931755153
2,17,0.023713819150413786,0.042741371149366554
2,18,0.021212168126588778,0.04152971269054846
2,19,0.020721594825209605,0.044483317908915604
2,20,0.01995104817407472,0.044321776791052384
2,21,0.017425771337002516,0.042782207442955536
2,22,0.014820111427633535,0.044468939981677315
2,23,0.013589740775170781,0.04558624818243764
2,24,0.013406288566156513,0.04273218153552576
2,25,0.011749785060861282,0.04544135487892411
2,26,0.011980737426451274,0.04806198586117138
2,27,0.012272683216170185,0.047235765579071914
2,28,0.010285195384529374,0.04483786394650286
2,29,0.009303881376538248,0.04597809605977752
2,30,0.009799197715307986,0.043384868651628494
3,1,0.02642141446648609,0.012096898291598667
3,2,0.0183531672117256,0.013275716961784796
3,3,0.015050028472961415,0.01201777591962706
3,4,0.013156199317780278,0.013142018409615213
3,5,0.011645846445823,0.011899385728280653
3,6,0.010887769172855076,0.014220394278791819
3,7,0.009159661951430496,0.012692054225639864
3,8,0.008788654436579063,0.014913186007602648
3,9,0.008003009649525796,0.01288908449086276
3,10,0.006833034024263422,0.013456574725833807
3,11,0.006613030297947782,0.014214332469485023
3,12,0.006159051521016019,0.01376277817921205
3,13,0.006368076417683845,0.014824951152232561
3,14,0.005451699020341039,0.014085298573428934
3,15,0.005493499482760117,0.013903862458061089
3,16,0.00511992992722385,0.013893615369769659
3,17,0.004787451465658489,0.014565143480219624
3,18,0.004516174844909637,0.014011668126014147
3,19,0.004723369304667271,0.015128195455128496
3,20,0.004532991104670579,0.014601843600923365
3,21,0.0042569149906436605,0.015124776400625706
3,22,0.003920917936955534,0.014500388367609545
3,23,0.0031040965557275783,0.015530333769592371
3,24,0.0030572242935055067,0.015994531187144192
3,25,0.0029462144870887556,0.015216288749467243
3,26,0.002840897012945442,0.016555403105237267
3,27,0.0026967693203394966,0.015628549524328926
3,28,0.0025130584697416495,0.016358704475516624
3,29,0.002457298152703082,0.01585630683059042
3,30,0.0026258896631632177,0.016972551206973465
4,1,0.01385667170065322,0.004235764499753714
4,2,0.006064063581150202,0.0034165283961390906
4,3,0.004158648118997614,0.003735871562226252
4,4,0.0034578454048771945,0.0038591914556243205
4,5,0.00349621281548891,0.0037143877284093337
4,6,0.003477964614007977,0.004088447259908373
4,7,0.0036358404516552887,0.0055011368610642175
4,8,0.0038199949333266843,0.004974626004695892
4,9,0.0030958959167557104,0.00458940952508287
4,10,0.0026441318221345897,0.004844449481672861
4,11,0.002810453813123916,0.00491169560700655
4,12,0.0031380754718113514,0.005588104588572274
4,13,0.003162697201506013,0.006645226004448804
4,14,0.0032083224671493682,0.006273603532463312
4,15,0.0031732710804568513,0.006256312004883181
4,16,0.002413696540142631,0.005794252353635701
