fold,epoch,train loss,validation loss
1,1,0.08550742339520227,0.13039735772392966
1,2,0.040300486698037104,0.06545783850279721
1,3,0.024036646421466554,0.06383974782445213
1,4,0.014393407541016737,0.06127578121694652
1,5,0.010131660649286849,0.05429395593025468
1,6,0.006139779502215485,0.06009593064134771
1,7,0.007657287243221488,0.058691803704608574
1,8,0.0065959166691061995,0.053992371667515145
1,9,0.005059088242151553,0.053896562280980026
1,10,0.003994287534927328,0.05272815037857403
1,11,0.003468227686382653,0.052230075001716614
1,12,0.004938999135490684,0.05772193284197287
1,13,0.0037911043618805707,0.053321965716101906
1,14,0.00333936210899126,0.05227890305898406
1,15,0.0035174317086958105,0.051323710856112564
1,16,0.0033783733988890334,0.05158700319853696
1,17,0.0029632397705600375,0.04880760796368122
1,18,0.0046213489092354265,0.05010314421220259
1,19,0.004412185797090864,0.050623685121536255
1,20,0.0033604471522959926,0.05011940036307682
1,21,0.0028884164445723095,0.0495181991295381
1,22,0.0037310492812788914,0.05027441985227845
1,23,0.00257538338302679,0.05012431943958456
1,24,0.0026425526968003915,0.05687541954896667
1,25,0.0026959543798251878,0.049149836667559364
1,26,0.001980205169058449,0.04966681552204219
1,27,0.0015802316788938783,0.04854494993659583
1,28,0.0018773963467018412,0.049353282898664474
1,29,0.0019620268139988184,0.04827196252616969
1,30,0.0028214647914172105,0.04805311933159828
2,1,0.017744700368937282,0.012859516777098179
2,2,0.006951062086348732,0.006612550128589977
2,3,0.00423256653205802,0.004387855381620201
2,4,0.0029893114336855,0.004260290181264281
2,5,0.0023926033837986843,0.004871025279333646
2,6,0.0030114477364501604,0.005090462636541237
2,7,0.002061962380096139,0.004565294599160552
2,8,0.0016312656877008045,0.005032916828481989
2,9,0.0015569156717642077,0.004773323275995525
2,10,0.0016626706319151534,0.004645320925522934
2,11,0.001561773780156814,0.0060271326960487795
2,12,0.0015669618927252789,0.005570553200827403
2,13,0.0016182869495380493,0.0058502922765910625
2,14,0.0019324900917819746,0.0071329052390700035
2,15,0.0018341891229197028,0.007485031869939782
2,16,0.001557197485540417,0.008011708925054832
2,17,0.0016866767920354114,0.008794476405124773
2,18,0.0011821289690920995,0.006934010847048326
2,19,0.0014223765728751286,0.008454099466854876
2,20,0.0011692826353412653,0.009017586581070314
2,21,0.001319243514444679,0.008067843673581427
2,22,0.001387229768581511,0.007455714639614929
2,23,0.0013914161176043784,0.008213122375309467
2,24,0.0012974137443095622,0.010814080395820465
2,25,0.001826436515243369,0.01754330200227824
2,26,0.008562432956837472,0.04758783057332039
2,27,0.018062183766492775,0.0372651686722582
2,28,0.01240140481275462,0.03572067923166535
2,29,0.006944304664752313,0.029093652455644173
2,30,0.0033563564176715558,0.03323588401756503
3,1,0.009711046559026553,0.006362654522738673
3,2,0.004229427653453534,0.005952429407360879
3,3,0.0019516100153504383,0.002672934608364647
3,4,0.0015185534693522467,0.002486927413635633
3,5,0.001335532781446264,0.002527063596062362
3,6,0.0012440194093090082,0.0026398007969625974
3,7,0.0010448730636631982,0.002526516211219132
3,8,0.001227730463835455,0.0022363953123038464
3,9,0.0009556790596217892,0.0028730075467716565
3,10,0.000899628127670093,0.0028893759431825442
3,11,0.0009631127024823357,0.003022425088354132
3,12,0.0009437853427481882,0.00254810034212741
3,13,0.0007332907532275255,0.003117150944572958
3,14,0.0008343060513392889,0.0030806178904392504
3,15,0.0008943354616695572,0.0029072948858480563
3,16,0.0009341720100824855,0.0028619538696313448
3,17,0.0006817035284170526,0.003061773562380536
3,18,0.0006151489949496906,0.002738233401694081
3,19,0.0006653385228543941,0.00316388714550571
3,20,0.0005313108364741007,0.0031741570935330606
3,21,0.0006809620265682627,0.003278575625947931
3,22,0.0006757928952408422,0.0032566348937424746
3,23,0.0005403595090943522,0.003118099115619605
3,24,0.0005211859811208255,0.003239202651787888
3,25,0.0005216402891424618,0.0033593287649141116
3,26,0.0006467567644514409,0.0031280948526479983
3,27,0.000704269708616526,0.005066127558662133
3,28,0.000802616934552567,0.003906632371416146
3,29,0.0006516836749921952,0.004139922855591232
3,30,0.0027147548077794325,0.031978100538253784
4,1,0.005386593333068525,0.0052822324108671055
4,2,0.0017251959430896456,0.001813173040070317
4,3,0.0009941996381496124,0.002387743824246255
4,4,0.0008133886149153113,0.0016015848060223188
4,5,0.000778830105056321,0.0014960081210698593
4,6,0.0006053149090370252,0.001819254131987691
4,7,0.0006625468966030027,0.001471889745020731
4,8,0.0006565916396322704,0.0016822974747893486
4,9,0.0005882732366444543,0.0011561049349521372
4,10,0.0005446884530274907,0.0014064181913537059
4,11,0.0005570178746850052,0.0016666898525065997
4,12,0.0007812423025912029,0.0015425076602365482
4,13,0.0006573368473688052,0.0018934068608690393
4,14,0.0005330428560098101,0.0015281766113317149
4,15,0.0006172454325548772,0.0015741461432877588
4,16,0.00062657818212063,0.0016081237488172271
4,17,0.0008016659918385336,0.012589251368560574
4,18,0.0021373880902371767,0.032573508098721504
4,19,0.006264679704881495,0.06865091858939691
4,20,0.0067323801950329824,0.0499535993757573
4,21,0.009567168519078266,0.026240780610929836
4,22,0.00685072535582419,0.06461028517647223
4,23,0.0030159598294024668,0.016185918060893364
4,24,0.0017252025219412254,0.01662378842857751
4,25,0.0010686981757836683,0.011500770585950126
4,26,0.0006857425808751335,0.01205021312290972
4,27,0.00042643750618611066,0.011399511501870373
4,28,0.00036234369707970125,0.010467881209809671
