fold,epoch,train loss,validation loss
1,1,0.30532076573442846,0.06990603323687207
1,2,0.05395844241692906,0.05027702653949911
1,3,0.04571603336149738,0.05062273009256883
1,4,0.04424828685642708,0.055189039558172226
1,5,0.04497861633786843,0.04567805728451772
1,6,0.034587270713278224,0.043330058455467224
1,7,0.03172779917007401,0.05298638716340065
1,8,0.027005928435495923,0.04799236594275995
1,9,0.02530922811655771,0.042483011429960076
1,10,0.021373397471117123,0.04858424633064053
1,11,0.01693387087878017,0.03320704705335877
1,12,0.013977374094316647,0.041340150108391586
1,13,0.012563223207724235,0.03696538778868588
1,14,0.011043078809355697,0.03874828852713108
1,15,0.009190330082284552,0.05313005061312155
1,16,0.009722723182113398,0.042213796214623886
1,17,0.007987119767460086,0.039791306988759476
1,18,0.008967878319145669,0.034677725115960296
1,19,0.00678983015850896,0.04151555455543778
1,20,0.0071060255480309325,0.03301935676823963
1,21,0.003932206545002936,0.034637869420376693
1,22,0.006090847403919767,0.05770114335146817
1,23,0.007041878942843704,0.03642529435455799
1,24,0.0041480370370360715,0.04362833567640998
1,25,0.004440215105811755,0.03474900922314687
1,26,0.0034551348542750234,0.03265652517703446
1,27,0.0031879343885174464,0.034294254569844765
1,28,0.003342690007273285,0.03228688392449509
1,29,0.003477344311596382,0.03467319296164946
1,30,0.0037357433383086963,0.034192371436140755
2,1,0.061239632023941906,0.058849967338822105
2,2,0.0325391771537917,0.04955717345530337
2,3,0.02329612352574865,0.06307851015166803
2,4,0.018978179210708254,0.05298391289331696
2,5,0.015379964662272306,0.04485351727767424
2,6,0.014705499257182791,0.05164612491022457
2,7,0.010926852479488366,0.03628656014122746
2,8,0.007359145940946681,0.028349537741054188
2,9,0.005521607285897646,0.023492726666683502
2,10,0.0037335382380877576,0.02521428093314171
2,11,0.003243668531511156,0.024648143317211758
2,12,0.002863068313759175,0.025864405726844616
2,13,0.004524059064264986,0.027230340818112545
2,14,0.0052309493351328585,0.023672637275674126
2,15,0.0023672469930412867,0.022234944118694824
2,16,0.0023495614891760937,0.02183187786828388
2,17,0.001715735561447218,0.02293113424358043
2,18,0.0018498761942499272,0.024453769691965797
2,19,0.0030768107930530925,0.021692630580880425
2,20,0.002871551101894251,0.024544160643761807
2,21,0.0027313181060543727,0.03878084620968862
2,22,0.0025663283789375177,0.03621995178135959
2,23,0.003415201516223273,0.05396545881574804
2,24,0.005607569601298088,0.04700568826361136
2,25,0.013666948702718531,0.06483365324410525
2,26,0.017965037597432024,0.04956547374075109
2,27,0.010826258399035959,0.0385072912004861
2,28,0.007163677442197998,0.03334791958332062
2,29,0.0044806689755725005,0.026475176045840435
2,30,0.0024759998861035065,0.027438726106827908
3,1,0.01990468691413601,0.008625608106905764
3,2,0.007647378092986487,0.0076117229817265816
3,3,0.0042178826628341565,0.0037752809426323934
3,4,0.0035929030162237937,0.004147095817395232
3,5,0.0020277641708075647,0.0037640011446042495
3,6,0.0019023796360540604,0.005078430160541426
