Model name, Dataset,  Mean time, Min time, Max time, Mean error throttle, Mean error steer
Mobilenet large, Test 1, 3.2790432220039287,2.97, 156.969, 0.007044381043765775, 0.024806508840535618
Mobilenet small, Test 1, 2.9328785854616912, 2.605, 152.917, 0.013182378728637995, 0.016437878429684753
Resnet, Test 1, 2.6198526522593335, 1.946, 121.692, 0.023443397346788866, 0.04320769670523689
Pilotnet,  Test 1, 1.0171532416502949, 0.621, 120.719, 0.014911330320043508, 0.02662359210269156
