time_stamp,frame,x,y,z,yaw,pitch,roll,vx,vy,vz,speed_mps,speed_kmh,throttle,steer,brake,reverse,gear,collision_impulse,collision_with,lane_invasion,weather_cloud,weather_rain,weather_wetness,weather_fog
70.45964242867194,3078,263.4404602050781,330.9753723144531,-0.001219520578160882,-0.836456298828125,0.07076075673103333,0.00940417405217886,1.754364013671875,-0.06042620539665222,0.00010551452578511089,1.755404349401825,6.31945565784657,0.5042974352836609,-0.03835722431540489,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
70.48950598365627,3079,263.49200439453125,330.9735412597656,-0.0012831115163862705,-0.8992612957954407,0.06373248994350433,0.00813688151538372,1.713138222694397,-0.05853636935353279,-0.0015315627679228783,1.7141386823352778,6.170899256407,0.5045421123504639,-0.03960318863391876,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
70.5260126737412,3080,263.5552978515625,330.97119140625,-0.0013011168921366334,-0.9761961698532104,0.055201586335897446,0.007705551106482744,1.726614236831665,-0.06118710711598396,-0.00011988639744231477,1.72769806369046,6.219713029285656,0.5045421123504639,-0.03960318863391876,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
70.5651027073618,3081,263.6236572265625,330.96832275390625,-0.0013364028418436646,-1.07342529296875,0.04715562239289284,0.010420765727758408,1.7389315366744995,-0.07100372016429901,-0.0004134654882363975,1.7403805872486673,6.2653701140952025,0.5047146677970886,-0.05121876299381256,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
70.60924272588454,3082,263.7024841308594,330.9650573730469,-0.001311721745878458,-1.170440673828125,0.04337169975042343,0.009580234065651894,1.8169195652008057,-0.0722590833902359,0.0005098724504932761,1.8183559446686441,6.546081400807119,0.5048755407333374,-0.03854702413082123,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
70.66156095615588,3083,263.7987976074219,330.9610900878906,-0.0012904357863590121,-1.284149169921875,0.042777471244335175,0.008983051404356956,1.8808538913726807,-0.07715758681297302,0.0002909183385781944,1.8824358524337654,6.776769068761555,0.5047659873962402,-0.03828756511211395,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
70.6978149858769,3084,263.867431640625,330.9581298828125,-0.0012939834268763661,-1.36328125,0.04308483004570007,0.00900245364755392,1.9213720560073853,-0.08073205500841141,-8.034706115722656e-05,1.9230674061944835,6.923042662300141,0.5050141215324402,-0.037684205919504166,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
70.73043211153708,3085,263.9308166503906,330.9553527832031,-0.0012657928746193647,-1.4340211153030396,0.044771887362003326,0.00932801142334938,1.9721510410308838,-0.08501384407281876,0.0006396484095603228,1.9739826472067388,7.10633752994426,0.504779040813446,-0.03757232427597046,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
70.76816768548451,3086,264.005615234375,330.9519348144531,-0.001292381202802062,-1.518768310546875,0.045407094061374664,0.01001800037920475,2.009847640991211,-0.09029897302389145,-0.0005601120064966381,2.0118751845610516,7.242750664419786,0.5047093629837036,-0.038997046649456024,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
70.80179915926419,3087,264.0738830566406,330.94873046875,-0.0012704848777502775,-1.595428466796875,0.0465204156935215,0.010512910783290863,2.0576109886169434,-0.09477407485246658,0.000494089093990624,2.0597925502014443,7.415253180725199,0.5048086643218994,-0.0381164625287056,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
70.83584723970853,3088,264.14459228515625,330.9453125,-0.0012597274035215378,-1.671875,0.047886453568935394,0.010949250310659409,2.1040501594543457,-0.0995822623372078,0.00021056174591649324,2.106405408464454,7.583059470472034,0.5048086643218994,-0.0381164625287056,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
70.87686384818517,3089,264.2319030761719,330.9410095214844,-0.0012418364640325308,-1.767242431640625,0.04932079464197159,0.01138658169656992,2.14542818069458,-0.10435527563095093,0.0002773284795694053,2.1479646596211848,7.732672774636265,0.5046356916427612,-0.0381164625287056,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
70.91540448716842,3090,264.31561279296875,330.9367370605469,-0.0012869262136518955,-1.8571170568466187,0.04841920733451843,0.011505012400448322,2.1687870025634766,-0.10821258276700974,-0.0008827495621517301,2.171485161083116,7.817346579899217,0.5044366121292114,-0.03789059817790985,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
70.94877327955328,3091,264.3894348144531,330.9328918457031,-0.001265678321942687,-1.9354859590530396,0.04833041504025459,0.01188376359641552,2.2218472957611084,-0.11408356577157974,0.0005254173302091658,2.224774312536775,8.009187525132392,0.5043766498565674,-0.03789059817790985,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
70.9829595645424,3092,264.4665832519531,330.92840576171875,-0.0012569427490234375,-2.031036138534546,0.04867875576019287,0.01618114672601223,2.264021158218384,-0.13067744672298431,0.00024084090546239167,2.267789332796786,8.164041598068431,0.5050745606422424,-0.05248643457889557,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
71.02088155574165,3093,264.5534973144531,330.92333984375,-0.0012847899924963713,-2.132110834121704,0.047538112848997116,0.015286820009350777,2.292898178100586,-0.12870444357395172,-0.0005429076845757663,2.2965076058400986,8.267427381024355,0.5044348239898682,-0.03889083117246628,0.0,False,1,0.0,,,60.0,40.0,80.0,5.0
